YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1950,-2.57,5.82,6.96,9.34,12.28,17.01,18.96,19.02,15.71,10.92,7.81,8.47,1.47,9.53,18.33,11.48,10.20
1951,4.11,6.16,5.46,11.12,13.70,17.54,19.35,17.83,16.40,11.82,8.35,3.84,6.25,10.09,18.24,12.19,11.69
1952,3.83,6.18,7.10,10.52,13.60,14.98,18.83,18.60,16.48,13.74,6.40,6.72,4.62,10.41,17.47,12.21,11.18
1953,8.21,5.91,7.45,9.59,12.81,14.41,17.96,18.45,16.73,13.13,9.52,7.09,6.95,9.95,16.94,13.13,11.74
1954,3.64,7.05,6.21,8.91,13.54,14.88,16.99,17.27,16.21,11.70,10.80,6.23,5.93,9.55,16.38,12.90,11.19
1955,5.35,4.83,5.34,8.36,11.75,15.80,16.97,17.46,15.27,11.59,5.20,4.92,5.47,8.48,16.74,10.69,10.35
1956,5.26,3.41,6.28,11.16,15.16,15.21,19.50,18.57,15.77,10.74,6.95,5.61,4.53,10.87,17.76,11.15,11.08
1957,1.37,5.21,7.93,11.11,15.45,16.79,17.60,17.50,18.10,11.43,7.42,7.51,4.06,11.50,17.30,12.32,11.29
1958,7.49,9.66,7.72,10.60,16.83,18.78,21.48,20.23,16.48,13.19,7.41,8.19,8.22,11.72,20.16,12.36,13.12
1959,5.92,6.03,7.80,10.81,12.96,16.35,19.96,17.87,15.17,12.15,7.66,5.63,6.71,10.52,18.06,11.66,11.74
1960,4.86,6.14,7.43,10.62,12.54,16.34,20.34,17.81,15.49,12.52,8.00,5.20,5.54,10.20,18.16,12.00,11.48
1961,7.51,7.95,8.40,9.41,13.16,18.52,20.52,21.25,15.90,11.53,6.54,5.13,6.89,10.32,20.10,11.32,12.16
1962,4.59,7.19,7.33,11.02,11.40,16.53,18.57,17.74,16.38,12.47,9.08,6.74,5.64,9.92,17.61,12.64,11.45
1963,2.12,10.04,7.59,9.82,15.05,16.24,17.64,18.86,18.29,13.25,7.68,5.64,6.30,10.82,17.58,13.07,11.94
1964,5.18,5.95,7.50,9.01,12.55,15.17,18.28,17.76,15.50,12.71,6.36,3.21,5.59,9.69,17.07,11.52,10.97
1965,5.33,6.85,9.09,10.46,11.80,16.76,20.63,19.51,15.40,14.32,10.45,5.46,5.13,10.45,18.97,13.39,11.98
1966,5.82,7.39,8.06,10.75,13.26,15.60,17.51,18.81,17.14,11.56,8.19,7.17,6.22,10.69,17.31,12.30,11.63
1967,6.53,6.78,6.40,8.84,13.78,17.83,19.54,22.12,19.11,13.05,8.90,5.72,6.83,9.67,19.83,13.69,12.50
1968,5.37,9.57,9.63,9.65,14.44,16.36,19.86,18.00,15.45,11.20,8.65,2.99,6.89,11.24,18.07,11.77,11.99
1969,1.03,6.14,8.69,9.79,14.87,18.34,18.56,18.19,16.48,11.77,8.50,7.75,3.39,11.12,18.36,12.25,11.28
1970,5.53,8.73,8.18,8.22,13.00,17.44,18.70,18.46,15.21,10.83,8.46,4.27,7.34,9.80,18.20,11.50,11.71
1971,4.68,6.14,5.59,9.82,12.92,13.67,19.03,20.25,14.61,10.94,8.04,3.47,5.03,9.44,17.65,11.20,10.83
1972,3.17,5.62,8.65,8.76,15.05,15.99,19.29,19.68,13.37,10.45,8.59,3.80,4.09,10.82,18.32,10.80,11.01
