YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1894,999.90,999.90,999.90,999.90,999.90,24.08,25.98,24.28,22.18,17.88,10.98,7.38,999.90,999.90,24.78,17.01,999.90
1895,999.90,2.88,999.90,17.78,21.38,25.48,26.88,26.98,24.18,15.48,9.78,5.93,4.66,17.21,26.45,16.48,16.20
1896,7.83,8.33,13.13,18.03,25.03,28.73,27.53,27.43,23.13,16.43,10.73,8.08,7.36,18.73,27.90,16.76,17.69
1897,1.28,8.28,12.18,15.68,20.18,25.38,27.18,25.48,22.08,16.28,10.58,4.53,5.88,16.01,26.01,16.31,16.06
1898,3.63,8.73,11.83,16.83,21.23,23.73,26.13,25.33,21.33,16.23,8.63,2.08,5.63,16.63,25.06,15.40,15.68
1899,4.68,4.58,12.78,16.58,21.08,24.88,26.28,27.48,22.08,16.88,10.88,6.03,3.78,16.81,26.21,16.61,15.86
1900,7.33,7.53,12.13,14.53,20.43,25.73,26.13,26.43,23.53,17.93,11.23,6.38,6.96,15.70,26.10,17.56,16.58
1901,7.38,5.88,11.48,15.18,20.78,25.58,26.88,27.58,21.88,17.18,11.48,5.93,6.55,15.81,26.68,16.85,16.47
1902,5.53,8.63,11.03,18.43,21.63,26.13,25.23,25.83,21.53,16.83,11.03,6.78,6.70,17.03,25.73,16.46,16.48
1903,7.08,3.98,10.98,999.90,999.90,21.98,999.90,999.90,999.90,15.38,10.88,4.93,5.95,999.90,999.90,16.29,999.90
1904,3.63,10.43,14.03,16.33,20.93,24.53,26.03,25.53,21.93,15.83,999.90,999.90,6.33,17.10,25.36,15.62,16.10
1905,4.78,0.38,12.78,14.38,20.68,25.68,24.98,26.38,22.98,14.68,10.48,2.23,2.22,15.95,25.68,16.05,14.97
1906,5.03,7.33,11.33,15.43,21.13,26.13,25.13,24.73,22.53,13.93,6.83,8.18,4.86,15.96,25.33,14.43,15.15
1907,8.68,10.38,15.58,15.68,18.18,24.08,26.48,26.48,22.38,16.08,7.88,6.83,9.08,16.48,25.68,15.45,16.67
1908,5.83,6.73,14.83,16.57,20.57,25.67,25.67,25.67,21.57,15.47,9.07,6.92,6.46,17.32,25.67,15.37,16.21
1909,8.52,8.82,10.22,16.52,20.22,26.12,27.82,26.22,21.82,15.82,12.82,2.87,8.09,15.65,26.72,16.82,16.82
1910,7.37,6.87,15.67,16.97,21.37,26.67,28.57,26.87,23.77,15.67,11.67,6.92,5.70,18.00,27.37,17.04,17.03
1911,10.32,7.42,14.82,17.32,21.42,26.12,26.82,26.42,24.82,15.62,7.92,3.07,8.22,17.85,26.45,16.12,17.16
